citation,auteur,
Cet homme avait tant d'intelligence qu'il n'était presque plus bon à rien dans ce monde.,Georg Christoph Lichtenberg,
"Cette chose dont nous ne voyons ni les yeux ni les oreilles, très peu le nez et la tête, bref, notre corps.",Georg Christoph Lichtenberg,
Cette difficulté d'exister qu'on nomme ennui.,Maine De Biran,
"Cette femme est belle et intelligente : hélas, combien elle serait devenue plus intelligente si elle n'était pas belle.",Friedrich Nietzsche,
Cette même égalité qui rend l'individu indépendant de chacun de ses concitoyens en particulier le livre isolé et sans défense à l'action du plus grand nombre.,Alexis De Tocqueville,
Cette ouverture au monde dont se prévalent les philosophes n'est-elle pas une réouverture au monde prestigieux des premières contemplations.,Gaston Bachelard,
Cette roue sous laquelle nous tournons Est pareille à une lanterne magique. Le soleil est la lampe ; le monde l'écran ; Nous sommes les images qui passent.,Omar Khayyam,
Cette vie foisonnante de l'histoire est si merveilleusement riche qu'elle réduit à néant les inventions sans génie d'une imagination essoufflée.,Jean D'Ormesson,
"Cette vieille erreur, qu'il n'y a de parfaitement vrai que ce qui est prouvé, et que toute vérité repose sur une preuve, quand, au contraire, toute preuve s'appuie sur une vérité indémontrée.",Arthur Schopenhauer,
"Ceux dont la connaissance est innée sont des hommes tout à fait supérieurs. Puis viennent ceux qui acquièrent cette connaissance par l'étude. Enfin, ceux qui, même dans la détresse, n'étudient pas : c'est le peuple.",Confucius,
"Ceux qu'on aime, on ne les juge pas.",Jean-Paul Sartre,
"Ceux que nous aimons, nous pouvons les haïr. Les autres nous sont indifférents.",Henry David Thoreau,
Ceux que nous appelons anciens étaient vraiment nouveaux en toutes choses.,Blaise Pascal,
Ceux que nous n'aimons pas brillent rarement dans nos rêves.,Emil Cioran,
"Ceux qui aiment à blâmer sont, par nature, peu propres à l'amitié.",Démocrite D'Abdère,
Ceux qui bénéficient du système le déplorent moins que ceux qui en pâtissent.,Luc Ferry,
Ceux qui cherchent des causes métaphysiques au rire ne sont pas gais.,Voltaire,
Ceux qui comprennent ne comprennent pas que l'on ne comprenne pas. Et ceux-ci doutent que ceux-là comprennent.,Paul Valéry,
Ceux qui cultivent sur une terre fertile ont un grand avantage sur ceux qui l'on défrichée.,Voltaire,
"Ceux qui de particuliers deviennent princes seulement par les faveurs de la fortune ont peu de peine à réussir, mais infiniment à se maintenir.",Machiavel,
Ceux qui désirent le moins de choses sont les plus près des dieux.,Socrate,
"Ceux qui écrivent comme ils parlent, quoiqu'ils parlent très bien, écrivent mal.",Georges-Louis Leclerc De Buffon,
Ceux qui me voient se fient rarement à ma parole : je dois avoir l'air trop intelligent pour la tenir.,Jean-Paul Sartre,
Ceux qui méprisent les richesses sont ceux qui désespèrent de s'enrichir.,Francis Bacon (philosophe),
Ceux qui mettent au jour quelque proposition nouvelle sont d'abord appelés hérétiques.,Montesquieu,
Ceux qui n'étudient pas ne sont que des bovins habillés de vêtements pour hommes.,Confucius,
Ceux qui ne connaissent pas leur histoire s'exposent à ce qu'elle recommence...,Elie Wiesel,
Ceux qui ne croient pas en Dieu font preuve d'une crédulité qui n'a rien à envier à celle qu'ils reprochent aux croyant.,Jean D'Ormesson,
Ceux qui ne demandent rien ont tout.,Lao Tseu,
Ceux qui ne peuvent pas pardonner aux autres brisent le pont sur lequel ils doivent eux-mêmes passer.,Confucius,
Ceux qui nous déplaisent ne se confondent pas avec ceux qui nous agressent.,Tzvetan Todorov,
Ceux qui ont avancé que tout est bien ont dit une sottise : il fallait dire que tout est au mieux.,Voltaire,
Ceux qui ont beaucoup à espérer et rien à perdre seront toujours dangereux.,Edmund Burke,
Ceux qui ont créé les mots croyaient au délire.,Platon,
Ceux qui ont embrassé science et littérature Ont récité leur fable et se sont endormis.,Omar Khayyam,
"Ceux qui ont souffert, l'éventualité de la souffrance les fait souffrir autant que la douleur même.",Sénèque,
Ceux qui ont tout à espérer et rien à perdre seront toujours dangereux.,Edmund Burke,
"Ceux qui par la science vont au plus haut du monde Qui par leur intelligence, scrutent le fond des cieux Ceux-là, pareils à la coupe du ciel La tête renversée, vivent dans leur vertige.",Omar Khayyam,
"Ceux qui parlent sont payés de l'applaudissement qu'on donne à ce qu'ils disent ; et ceux qui écoutent, du profit qu'ils en reçoivent.",Baltasar Gracian,
"Ceux qui savent ne parlent pas, ceux qui parlent ne savent pas. Le sage enseigne par ses actes, non par ses paroles.",Lao Tseu,
Ceux-là seuls qui se prosternent comme des esclaves devant la réussite peuvent trouver que l'efficacité est admirable indépendamment de l'accomplissement auquel elle tend.,Bertrand Russell,
"Chacun a raison de son propre point de vue, mais il n'est pas impossible que tout le monde ait tort.",Gandhi,
Chacun aspire au génie et se contente de talent.,Edgar Morin,
"Chacun conçoit qu'inscrit dans le temps, il subit ses effets et vieillit.",Michel Onfray,
Chacun de nous quitte la vie avec le sentiment qu'il vient à peine de naître.,épicure,
"Chacun dissimule quelque chose à quelqu'un, et chacun, quelque chose à soi-même. Il y a donc deux versants de sincérité.",Paul Valéry,
Chacun est enfermé dans sa conscience comme dans sa peau.,Arthur Schopenhauer,
"Chacun est prisonnier de sa famille, de son milieu, de son métier, de son temps.",Jean D'Ormesson,
Chacun est tourmenté par sa propre malhonnêteté.,Cicéron,
Chacun met son être dans le paraître.,Jean-Jacques Rousseau,
Chacun sait que les armes de dissuasion ne sont efficaces que si l'on ne s'en sert pas.,Emil Cioran,
Chacun vaut ce que valent les objectifs de son effort.,Marc Aurèle,
"Chacun, parce qu'il pense, est seul responsable de la sagesse ou de la folie de sa vie, c'est-à-dire de sa destinée.",Platon,
Changez la base économique et vous changerez les êtres humains.,Karl Marx,
Chaque atome de silence Est la chance d'un fruit mûr.,Paul Valéry,
"Chaque bonne réalisation, grande ou petite, connaît ses périodes de corvées et de triomphes; un début, un combat et une victoire.",Gandhi,
Chaque concession ne peut qu'affaiblir un peu celui qui la fait et offenser davantage celui qui l'obtient.,Gustave Thibon,
"Chaque époque découvre un aspect de la condition humaine, à chaque époque l'homme se choisit en face d'autrui, de l'amour, de la mort, du monde.",Jean-Paul Sartre,
"Chaque fois qu'il y a un changement de support, il y a un Socrate qui engueule un Platon.",Michel Serres,
"Chaque fois que l'on fait passer nos différences avant nos ressemblances, on met le doigt dans un processus d'affrontement.",Elisabeth Badinter,
"Chaque fois que quelqu'un m'a offensé, j'essaie d'élever mon âme si haut que l'offense ne peut l'atteindre.",René Descartes,
"Chaque fois que tu veux connaître le fond d'une chose, confie-la au temps.",Sénèque,
"Chaque génération doit à la suivante ce qu'elle a reçu de ses devancières, un ordre social établi.",Ernest Renan,
"Chaque génération se moque des vieilles modes, mais suit religieusement les nouvelles.",Henry David Thoreau,
Chaque histoire s'accompagne d'un nombre indéterminé d'anti-histoires dont chacune est complémentaire des autres.,Claude Lévi-strauss,
Chaque homme cache en lui un enfant qui veut jouer.,Friedrich Nietzsche,
Chaque homme craint au plus haut point de n'être plus pris en charge par quelque femme ou image féminine que ce soit. Personne ne peut vivre sans l'absolution d'une image féminine.,Jean Baudrillard,
Chaque homme doit inventer son chemin.,Jean-Paul Sartre,
Chaque homme est responsable de sa religion.,Gandhi,
Chaque homme s'invente lui-même. Mais c'est une invention dont il ne connaît pas le terme.,Louis Lavelle,
Chaque homme sait une quantité prodigieuse de choses qu'il ignore qu'il sait.,Paul Valéry,
"Chaque homme, chaque objet est à lui seul un prix, une étude, une propriété.",Ralph Waldo Emerson,
"Chaque homme, par sa nature même, possède innée en lui la lumière de la raison qui dirige ses actes vers sa fin.",Thomas D'Aquin,
Chaque instant tombe à chaque instant dans l'imaginaire.,Paul Valéry,
"Chaque intelligence individuelle nait de la coopération collective de milliards de neurone, chaque intelligence collective nait de la coopération de nombreux individus.",Edgar Morin,
Chaque langue dit le monde à sa façon. Chacune édifie des mondes et des anti-mondes à sa manière. Le polyglotte est un homme plus libre.,Rudolf Steiner,
Chaque livre brûlé illumine le monde.,Ralph Waldo Emerson,
Chaque mot est un préjugé.,Friedrich Nietzsche,
"Chaque nuit, au sommeil, s'éveille en nous une source créatrice fabuleuse qui jaillit de rêve en rêve et s'éteint au réveil.",Edgar Morin,
Chaque objet est le miroir de tous les autres.,Maurice Merleau-Ponty,
Chaque pensée est une exception à une règle générale qui est de ne pas penser.,Paul Valéry,
"Chaque problème que je résolvais devenait une règle, qui servait ensuite à résoudre d'autres problèmes.",René Descartes,
Chaque profession a un vice et un danger qui lui sont attachés.,Voltaire,
Chaque repas que l'on fait est un repas de moins à faire.,Vladimir Jankélévitch,
"Chaque science, chaque étude, a son jargon inintelligible, qui semble n'être inventé que pour en défendre les approches.",Voltaire,
Chaque vie se fait son destin.,Henri-Frédéric Amiel,
Chatrouiller : avoir une peur déraisonnable des guilis.,Alain Finkielkraut,
Chercher la confirmation de son moi dans les yeux d'autrui revient à se regarder dans les miroirs déformants d'une fête foraine.,Alain De Botton,
Chercher la vérité c'est passer de la vitrine d'une boutique à une autre.,Jiddu Krishnamurti,
Chercher un sens à quoi que ce soit est moins le fait d'un naïf que d'un masochiste.,Emil Cioran,
Cherchons à nous accommoder à cette vie ; ce n'est point à cette vie à s'accommoder à nous.,Montesquieu,
Cherchons comme cherchent ceux qui doivent trouver et trouvons comme trouvent ceux qui doivent chercher encore. Car il est écrit : celui qui est arrivé au terme ne fait que commencer.,Saint Augustin D'Hippone,
"Cherchons nos biens en nous-même, autrement, nous ne les trouverons pas.",épictète,
"Cherchons nos biens nous-mêmes, autrement nous ne les trouverons pas.",épictète,
"Chez certains élèves, le credo s'oppose au cogito et l'emporte sur lui.",Elisabeth Badinter,
"Chez la plupart des hommes, l'incroyance en une chose est fondée sur la croyance aveugle en une autre.",Georg Christoph Lichtenberg,
"Chez la plupart des hommes, le calme est léthargie, l'émotion fureur.",épicure,
"Chez nous, les hommes devraient naître plus heureux et joyeux qu'ailleurs, mais je crois que le bonheur vient aux hommes qui naissent là où l'on trouve de bons vins...",Léonard De Vinci,
"Chez nous, les intellectuels n'ont plus d'influence dans la société, sauf quand ils émettent des slogans. Les intellectuels ont de l'influence en France lorsqu'ils flattent un vague ""politiquement correcte"".",Jean-François Revel,
Chez plusieurs hommes l'art de faire des vers est le développement d'une maladie de l'esprit.,Georg Christoph Lichtenberg,
"Choisie ou forcée, transitoire ou définitive, la solitude est de plus en plus préférée au lien forcé. On apprend à l'aménager et à profiter de son égoïsme.",Elisabeth Badinter,
"Choisir son temps, c'est l'épargner.",Francis Bacon (philosophe),
"Choisir, donc exclure.",Henri Bergson,
Choisis d'entrer dans la mer par les petits ruisseaux.,Thomas D'Aquin,
Choisis en politique le bon ordre. Choisis en affaire l'efficacité. Choisis pour agir l'opportunité. Ne rivalise point : tu seras sans reproche.,Lao Tseu,
Choisis toujours le chemin qui semble le meilleur même s'il paraît plus difficile : l'habitude le rendra bientôt agréable.,Pythagore,
Choisis un bon terrain pour ta demeure. Choisis-le profond pour ton coeur. Choisis envers autrui la bienveillance. Choisis en paroles la vérité.,Lao Tseu,
Choisis un travail qui dédommage de ce qu'il coûte par le plaisir qu'il procure.,Nicolas De Condorcet,
Choisissez un travail que vous aimez et vous n'aurez pas à travailler un seul jour de votre vie.,Confucius,
Choix et conscience sont une seule et même chose.,Jean-Paul Sartre,
"Chrétiens et Musulmans, nous nous sommes généralement mal compris, et quelquefois, dans le passé, nous nous sommes opposés et même épuisés en polémiques et en guerres. Je crois que Dieu nous invite, aujourd'hui, à changer nos vieilles habitudes",Jean-Paul II,
"Chronologiquement, aucune connaissance ne précède en nous l'expérience et c'est avec elle que toutes commencent.",Emmanuel Kant,
Clochers d'église - des entonnoirs renversés pour conduire les prières au ciel.,Georg Christoph Lichtenberg,
Colère et intolérance sont les ennemis d'une bonne compréhension.,Gandhi,
Combien de corps célestes se meuvent en secret sans jamais se montrer aux yeux des hommes ! Dieu n'a pas fait toutes les choses pour l'homme.,Sénèque,
"Combien de fois, sacredieu, n'ai-je pas désiré qu'on pût attaquer le soleil, en priver l'univers, ou s'en servir pour embraser le monde.",Marquis De Sade,
"Combien de grands hommes ont dû la célébrité au nom que, par hasard, ils ont reçu de leurs parents.",Ernest Renan,
"Combien de vertus apparentes cachent souvent des vices réels ! Le sage est sobre par tempérance, le fourbe l'est par fausseté.",Jean-Jacques Rousseau,
"Combien la Bible peut-elle avoir nourri de gens, commentateurs, imprimeurs et relieurs ?",Georg Christoph Lichtenberg,
"Combien mérite de mépris et de haine tout homme qui abuse, pour le malheur du genre humain, du génie et des talents que lui donna la nature !",Jean-Jacques Rousseau,
"Comme fils, nous apprenons à vénérer nos supérieurs, et comme frères à chérir nos égaux. Mais c'est la paternité qui nous enseigne directement à aimer nos inférieurs.",Auguste Comte,
"Comme il faut de la vertu dans une république, et dans la monarchie de l'honneur, il faut de la crainte dans un gouvernement despotique ; la vertu n'y est point nécessaire et l'honneur y serait dangereux.",Montesquieu,
